Img,IA
painting_1_v1,2
painting_1_v2,3
painting_1_v3,1
painting_1_v4,0
painting_2_v1,3
painting_2_v2,1
painting_2_v3,0
painting_2_v4,2
painting_3_v1,0
painting_3_v2,1
painting_3_v3,3
painting_3_v4,2
painting_4_v1,2
painting_4_v2,3
painting_4_v3,0
painting_4_v4,1
painting_5_v1,1
painting_5_v2,0
painting_5_v3,3
painting_5_v4,2
painting_6_v1,1
painting_6_v2,0
painting_6_v3,3
painting_6_v4,2
painting_7_v1,0
painting_7_v2,2
painting_7_v3,3
painting_7_v4,1
painting_8_v1,0
painting_8_v2,2
painting_8_v3,1
painting_8_v4,3
painting_9_v1,3
painting_9_v2,0
painting_9_v3,1
painting_9_v4,2
painting_10_v1,3
painting_10_v2,2
painting_10_v3,0
painting_10_v4,1
painting_11_v1,2
painting_11_v2,3
painting_11_v3,0
painting_11_v4,1
painting_12_v1,1
painting_12_v2,0
painting_12_v3,3
painting_12_v4,2
painting_13_v1,0
painting_13_v2,1
painting_13_v3,3
painting_13_v4,2
painting_14_v1,3
painting_14_v2,1
painting_14_v3,2
painting_14_v4,0
painting_15_v1,1
painting_15_v2,3
painting_15_v3,2
painting_15_v4,0
painting_16_v1,0
painting_16_v2,1
painting_16_v3,2
painting_16_v4,3
painting_17_v1,2
painting_17_v2,3
painting_17_v3,1
painting_17_v4,0
painting_18_v1,2
painting_18_v2,0
painting_18_v3,3
painting_18_v4,1
painting_19_v1,1
painting_19_v2,0
painting_19_v3,2
painting_19_v4,3
painting_20_v1,3
painting_20_v2,2
painting_20_v3,1
painting_20_v4,0