"Marca temporal","Edad / Age","Máximo Nivel de estudios alcanzado / Highest level of education attained","Según la OCDE ¿Cuál es el área de conocimiento de la formación alcanzada?","¿Con qué género se identifica?","Nacionalidad de Nacimiento","1ª obra [Versión 1]","1ª obra [Versión 2]","1ª obra [Versión 3]","1ª obra [Versión 4]","2ª obra [Versión 1]","2ª obra [Versión 2]","2ª obra [Versión 3]","2ª obra [Versión 4]","3ª obra [Versión 1]","3ª obra [Versión 2]","3ª obra [Versión 3]","3ª obra [Versión 4]","4ª obra [Versión 1]","4ª obra [Versión 2]","4ª obra [Versión 3]","4ª obra [Versión 4]","5ª obra [Versión 1]","5ª obra [Versión 2]","5ª obra [Versión 3]","5ª obra [Versión 4]","6ª obra [Versión 1]","6ª obra [Versión 2]","6ª obra [Versión 3]","6ª obra [Versión 4]","7ª obra [Versión 1]","7ª obra [Versión 2]","7ª obra [Versión 3]","7ª obra [Versión 4]","8ª obra [Versión 1]","8ª obra [Versión 2]","8ª obra [Versión 3]","8ª obra [Versión 4]","9ª obra [Versión 1]","9ª obra [Versión 2]","9ª obra [Versión 3]","9ª obra [Versión 4]","10ª obra [Versión 1]","10ª obra [Versión 2]","10ª obra [Versión 3]","10ª obra [Versión 4]","11ª obra [Versión 1]","11ª obra [Versión 2]","11ª obra [Versión 3]","11ª obra [Versión 4]","12ª obra [Versión 1]","12ª obra [Versión 2]","12ª obra [Versión 3]","12ª obra [Versión 4]","13ª obra [Versión 1]","13ª obra [Versión 2]","13ª obra [Versión 3]","13ª obra [Versión 4]","14ª obra [Versión 1]","14ª obra [Versión 2]","14ª obra [Versión 3]","14ª obra [Versión 4]","15ª obra [Versión 1]","15ª obra [Versión 2]","15ª obra [Versión 3]","15ª obra [Versión 4]","16ª obra [Versión 1]","16ª obra [Versión 2]","16ª obra [Versión 3]","16ª obra [Versión 4]","17ª obra [Versión 1]","17ª obra [Versión 2]","17ª obra [Versión 3]","17ª obra [Versión 4]","18ª obra [Versión 1]","18ª obra [Versión 2]","18ª obra [Versión 3]","18ª obra [Versión 4]","19ª obra [Versión 1]","19ª obra [Versión 2]","19ª obra [Versión 3]","19ª obra [Versión 4]","20ª obra [Versión 1]","20ª obra [Versión 2]","20ª obra [Versión 3]","20ª obra [Versión 4]"
"2023/11/07 6:27:32 p. m. CET","23","Universitaria","Ingeniería y Tecnología","Masculino","Chile / Chile","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Alegría","Entretenimiento","Tristeza","Alegría","Miedo","Entretenimiento","Entretenimiento","Tristeza","Alegría","Miedo","Entretenimiento","Miedo","Alegría","Tristeza","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Miedo","Alegría","Tristeza","Entretenimiento","Miedo","Tristeza","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Alegría","Miedo","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Alegría","Tristeza"
"2023/11/07 6:34:38 p. m. CET","54","Postgrado","Ingeniería y Tecnología","Masculino","Grecia / Greece","Tristeza","Alegría","Entretenimiento","Alegría","Tristeza","Entretenimiento","Alegría","Tristeza","Alegría","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Alegría","Alegría","Alegría","Alegría","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Alegría","Tristeza","Miedo","Tristeza","Alegría","Alegría","Tristeza","Alegría","Tristeza","Alegría","Alegría","Alegría","Alegría","Tristeza","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Miedo","Alegría","Miedo","Miedo","Alegría","Alegría","Alegría","Alegría","Entretenimiento","Tristeza","Tristeza","Alegría","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Alegría","Alegría","Alegría","Alegría","Tristeza","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Tristeza","Alegría","Alegría"
"2023/11/07 6:58:34 p. m. CET","25","Postgrado","Ingeniería y Tecnología","Masculino","Chile / Chile","Tristeza","Alegría","Miedo","Entretenimiento","Entretenimiento","Miedo","Alegría","Tristeza","Alegría","Tristeza","Miedo","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Tristeza","Miedo","Entretenimiento","Entretenimiento","Miedo","Alegría","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Alegría","Miedo","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Miedo","Tristeza","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Entretenimiento","Alegría","Miedo","Tristeza","Entretenimiento","Tristeza","Miedo","Alegría"
"2023/11/07 10:23:07 p. m. CET","43","Postgrado","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Tristeza","Alegría","Entretenimiento","Tristeza","Alegría","Alegría","Tristeza","Alegría","Alegría","Alegría","Alegría","Entretenimiento","Alegría","Alegría","Alegría","Entretenimiento","Alegría","Alegría","Tristeza","Entretenimiento","Alegría","Alegría","Alegría","Miedo","Miedo","Miedo","Entretenimiento","Tristeza","Miedo","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Miedo","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Alegría","Alegría","Alegría","Tristeza","Alegría","Entretenimiento","Alegría","Alegría","Miedo","Miedo","Miedo","Miedo","Alegría","Alegría","Miedo","Tristeza","Alegría","Miedo","Miedo","Alegría","Miedo","Tristeza","Alegría","Tristeza","Miedo","Tristeza","Tristeza","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría"
"2023/11/08 12:04:40 a. m. CET","30","Universitaria","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Alegría","Tristeza","Alegría","Miedo","Miedo","Alegría","Tristeza","Alegría","Alegría","Tristeza","Miedo","Tristeza","Alegría","Alegría","Entretenimiento","Alegría","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Tristeza","Miedo","Miedo","Miedo","Miedo","Tristeza","Miedo","Miedo","Tristeza","Tristeza","Tristeza","Miedo","Tristeza","Tristeza","Miedo","Alegría","Alegría","Tristeza","Miedo","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Entretenimiento","Miedo","Miedo","Tristeza","Alegría","Miedo","Tristeza","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Alegría","Tristeza","Tristeza","Miedo","Tristeza","Alegría","Tristeza","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Entretenimiento","Tristeza","Alegría","Alegría","Miedo","Entretenimiento","Entretenimiento"
"2023/11/08 12:21:15 a. m. CET","27","Universitaria","Ingeniería y Tecnología","Masculino","Chile / Chile","Tristeza","Miedo","Miedo","Miedo","Miedo","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Entretenimiento","Alegría","Entretenimiento","Miedo","Entretenimiento","Tristeza","Alegría","Tristeza","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Alegría","Entretenimiento","Tristeza","Tristeza","Tristeza","Alegría","Entretenimiento","Entretenimiento","Entretenimiento","Miedo","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Miedo","Alegría","Tristeza","Entretenimiento","Tristeza","Alegría","Miedo","Tristeza","Entretenimiento","Tristeza","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Miedo","Entretenimiento","Tristeza"
"2023/11/08 1:55:35 p. m. CET","38","Postgrado","Ingeniería y Tecnología","Masculino","Venezuela / Venezuela","Miedo","Alegría","Alegría","Alegría","Tristeza","Alegría","Entretenimiento","Miedo","Entretenimiento","Alegría","Miedo","Tristeza","Alegría","Alegría","Alegría","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Miedo","Miedo","Miedo","Miedo","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Miedo","Miedo","Miedo","Tristeza","Tristeza","Tristeza","Entretenimiento","Miedo","Tristeza","Tristeza","Tristeza","Alegría","Alegría","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Alegría","Entretenimiento","Tristeza","Tristeza","Alegría","Miedo","Tristeza","Alegría","Tristeza","Tristeza","Entretenimiento","Tristeza","Alegría","Tristeza","Tristeza","Miedo","Miedo","Entretenimiento","Miedo","Miedo","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento"
"2023/11/08 8:20:43 p. m. CET","31","Postgrado","Ciencias Naturales","Masculino","Chile / Chile","Tristeza","Alegría","Tristeza","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Alegría","Alegría","Tristeza","Tristeza","Alegría","Alegría","Alegría","Entretenimiento","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Tristeza","Alegría","Alegría","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Alegría","Alegría","Tristeza","Tristeza","Tristeza","Tristeza","Alegría","Alegría","Entretenimiento","Alegría","Entretenimiento","Entretenimiento","Miedo","Miedo","Tristeza","Tristeza","Tristeza","Tristeza","Entretenimiento","Tristeza","Tristeza","Alegría","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Alegría","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Miedo","Miedo","Miedo","Miedo"
"2023/11/09 2:45:50 p. m. CET","24","Universitaria","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Tristeza","Entretenimiento","Alegría","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Miedo","Miedo","Miedo","Miedo","Miedo","Miedo","Tristeza","Tristeza","Miedo","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Tristeza","Tristeza","Miedo","Alegría","Miedo","Tristeza","Tristeza","Miedo","Tristeza","Miedo","Miedo","Miedo","Alegría","Alegría","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Miedo","Miedo","Miedo","Miedo","Miedo","Entretenimiento","Miedo","Miedo","Alegría","Tristeza","Entretenimiento","Miedo","Tristeza","Miedo","Miedo","Alegría","Tristeza","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Alegría","Miedo","Tristeza","Alegría","Miedo","Entretenimiento","Alegría"
"2023/11/09 3:44:51 p. m. CET","36","Postgrado","Ciencias Sociales","Masculino","Chile / Chile","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Tristeza","Alegría","Entretenimiento","Alegría","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Tristeza","Tristeza","Miedo","Alegría","Miedo","Tristeza","Miedo","Miedo","Tristeza","Tristeza","Alegría","Tristeza","Miedo","Tristeza","Tristeza","Alegría","Alegría","Tristeza","Tristeza","Tristeza","Tristeza","Entretenimiento","Alegría","Alegría","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Alegría","Tristeza","Tristeza","Alegría","Tristeza","Miedo","Alegría","Alegría","Alegría","Tristeza","Tristeza","Miedo","Tristeza","Alegría","Alegría","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Alegría","Tristeza","Alegría","Alegría","Miedo","Entretenimiento","Alegría"
"2023/11/10 2:41:13 a. m. CET","37","Postgrado","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Tristeza","Entretenimiento","Alegría","Tristeza","Entretenimiento","Alegría","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Tristeza","Miedo","Alegría","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Alegría","Entretenimiento","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/11/14 2:08:19 p. m. CET","21","Secundaria","Ciencias Sociales","Femenino","España / Spain","Miedo","Entretenimiento","Alegría","Tristeza","Tristeza","Alegría","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Miedo","Entretenimiento","Alegría","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría","Entretenimiento","Miedo","Alegría","Tristeza","Entretenimiento","Miedo","Alegría","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Alegría","Entretenimiento","Entretenimiento","Tristeza","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Miedo","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Alegría","Tristeza","Alegría","Tristeza","Miedo","Alegría","Entretenimiento"
"2023/11/15 2:20:32 a. m. CET","23","Universitaria","Ingeniería y Tecnología","Masculino","Chile / Chile","Tristeza","Entretenimiento","Miedo","Alegría","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Entretenimiento","Miedo","Alegría","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Miedo","Entretenimiento","Alegría","Tristeza","Tristeza","Miedo","Alegría","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Miedo","Tristeza","Entretenimiento","Alegría"
"2023/11/15 2:47:17 a. m. CET","40","Postgrado","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Miedo","Entretenimiento","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Alegría","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Alegría","Miedo","Miedo","Entretenimiento","Tristeza","Miedo","Alegría","Tristeza","Alegría","Tristeza","Tristeza","Miedo","Miedo","Alegría","Tristeza","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/11/15 1:23:10 p. m. CET","45","Postgrado","Ingeniería y Tecnología","Masculino","España / Spain","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Miedo","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Entretenimiento","Alegría","Entretenimiento","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Tristeza","Entretenimiento","Miedo","Miedo","Entretenimiento","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Miedo","Entretenimiento","Tristeza","Alegría","Alegría","Tristeza","Tristeza","Tristeza","Entretenimiento","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Entretenimiento","Entretenimiento","Tristeza","Entretenimiento","Tristeza","Entretenimiento","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Entretenimiento","Entretenimiento","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Miedo","Tristeza","Tristeza","Entretenimiento","Alegría","Alegría","Tristeza","Tristeza","Entretenimiento","Miedo","Miedo","Miedo"
"2023/11/15 4:35:34 p. m. CET","36","Postgrado","Ninguno","Masculino","Chile / Chile","Miedo","Miedo","Tristeza","Tristeza","Tristeza","Tristeza","Alegría","Tristeza","Alegría","Alegría","Tristeza","Tristeza","Alegría","Alegría","Alegría","Alegría","Tristeza","Tristeza","Miedo","Miedo","Entretenimiento","Entretenimiento","Tristeza","Tristeza","Miedo","Miedo","Miedo","Miedo","Entretenimiento","Tristeza","Entretenimiento","Tristeza","Miedo","Miedo","Miedo","Miedo","Entretenimiento","Entretenimiento","Alegría","Alegría","Entretenimiento","Tristeza","Alegría","Alegría","Alegría","Alegría","Alegría","Alegría","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Tristeza","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Tristeza","Tristeza","Alegría","Tristeza","Alegría","Tristeza","Tristeza","Miedo","Tristeza","Alegría","Tristeza","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento","Entretenimiento"
"2023/11/15 10:24:12 p. m. CET","24","Secundaria","Ninguno","Femenino","Chile / Chile","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Tristeza","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Entretenimiento","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Miedo","Entretenimiento","Tristeza"
"2023/11/16 1:52:16 a. m. CET","23","Universitaria","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Entretenimiento","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Miedo","Tristeza","Alegría","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Entretenimiento","Alegría","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/11/16 9:27:13 a. m. CET","21","Secundaria","Ciencias Sociales","Femenino","España / Spain","Tristeza","Alegría","Entretenimiento","Miedo","Entretenimiento","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Tristeza","Alegría","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Alegría","Alegría","Miedo","Tristeza","Alegría","Miedo","Entretenimiento","Alegría"
"2023/11/16 2:14:52 p. m. CET","48","Postgrado","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Tristeza","Alegría","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Miedo","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Tristeza","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Tristeza","Entretenimiento","Entretenimiento","Tristeza","Tristeza","Tristeza","Alegría","Tristeza","Alegría","Entretenimiento","Tristeza","Tristeza","Alegría","Alegría","Entretenimiento","Tristeza","Tristeza","Miedo","Miedo","Miedo","Miedo","Miedo","Tristeza","Tristeza","Alegría","Miedo","Tristeza","Miedo","Tristeza","Alegría","Miedo","Entretenimiento","Alegría"
"2023/11/18 10:32:40 a. m. CET","18","Ninguno","Ciencias Naturales","Femenino","Turquía / Turkey","Miedo","Alegría","Tristeza","Miedo","Miedo","Tristeza","Alegría","Miedo","Alegría","Tristeza","Tristeza","Miedo","Alegría","Miedo","Miedo","Entretenimiento","Miedo","Entretenimiento","Alegría","Miedo","Entretenimiento","Entretenimiento","Miedo","Alegría","Tristeza","Miedo","Miedo","Alegría","Alegría","Miedo","Alegría","Miedo","Tristeza","Tristeza","Alegría","Tristeza","Tristeza","Tristeza","Miedo","Alegría","Tristeza","Tristeza","Alegría","Miedo","Entretenimiento","Alegría","Tristeza","Entretenimiento","Miedo","Entretenimiento","Entretenimiento","Miedo","Tristeza","Alegría","Miedo","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Miedo","Tristeza","Tristeza","Miedo","Tristeza","Alegría","Tristeza","Miedo","Tristeza","Tristeza","Alegría","Alegría","Alegría","Miedo","Tristeza","Alegría","Miedo","Entretenimiento","Tristeza"
"2023/11/18 10:33:46 a. m. CET","19","Ninguno","Ingeniería y Tecnología","Femenino","Turquía / Turkey","Miedo","Alegría","Tristeza","Alegría","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Alegría","Miedo","Tristeza","Alegría","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Miedo","Alegría","Tristeza","Alegría","Miedo","Alegría","Entretenimiento","Miedo","Alegría","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Alegría","Miedo","Miedo","Miedo","Entretenimiento","Miedo","Alegría","Miedo","Entretenimiento","Miedo","Alegría","Entretenimiento","Alegría","Tristeza","Alegría","Tristeza","Tristeza","Tristeza","Tristeza","Tristeza","Miedo","Alegría","Miedo","Alegría","Alegría","Alegría","Entretenimiento","Alegría","Entretenimiento","Alegría","Alegría","Miedo","Miedo","Miedo","Alegría"
"2023/11/18 2:29:58 p. m. CET","40","Postgrado","Ingeniería y Tecnología","Masculino","Chile / Chile","Miedo","Entretenimiento","Alegría","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Entretenimiento","Alegría","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Miedo","Entretenimiento","Alegría","Entretenimiento","Miedo","Alegría","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Tristeza","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Entretenimiento","Tristeza","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Miedo","Alegría","Tristeza"
"2023/11/22 9:21:11 p. m. CET","54","Postgrado","Ciencias Sociales","Femenino","Bolivia / Bolivia","Miedo","Miedo","Entretenimiento","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Miedo","Alegría","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Alegría","Tristeza","Tristeza","Miedo","Miedo","Miedo","Entretenimiento","Entretenimiento","Miedo","Miedo","Tristeza","Tristeza","Miedo","Miedo","Miedo","Tristeza","Entretenimiento","Entretenimiento","Entretenimiento","Tristeza","Tristeza","Tristeza","Entretenimiento","Entretenimiento","Tristeza","Tristeza","Tristeza","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Miedo","Miedo","Entretenimiento","Tristeza","Miedo","Entretenimiento","Entretenimiento","Alegría","Entretenimiento","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Tristeza","Tristeza","Tristeza","Tristeza","Entretenimiento","Entretenimiento","Tristeza","Entretenimiento","Entretenimiento","Tristeza","Alegría","Entretenimiento"